  freq    px |        V14best        |       V16-LPIPS       |       V17-ep36       
             |        MTF      coher |        MTF      coher |        MTF      coher
 0.023  42.7 |      0.982      0.977 |      0.997      0.992 |      1.001      0.996 | 
 0.039  25.6 |      0.947      0.952 |      0.984      0.980 |      0.988      0.990 | 
 0.055  18.3 |      0.919      0.919 |      0.970      0.963 |      0.981      0.981 | 
 0.070  14.2 |      0.895      0.876 |      0.972      0.937 |      0.985      0.968 | 
 0.086  11.6 |      0.839      0.822 |      0.938      0.902 |      0.968      0.951 | 
 0.102   9.8 |      0.805      0.777 |      0.918      0.869 |      0.958      0.928 | 
 0.117   8.5 |      0.778      0.732 |      0.925      0.821 |      0.941      0.900 | 
 0.133   7.5 |      0.755      0.686 |      0.888      0.787 |      0.932      0.875 | 
 0.148   6.7 |      0.711      0.653 |      0.823      0.773 |      0.889      0.855 | 
 0.164   6.1 |      0.679      0.618 |      0.801      0.736 |      0.864      0.823 | 
 0.180   5.6 |      0.680      0.555 |      0.807      0.671 |      0.864      0.781 | 
 0.195   5.1 |      0.603      0.556 |      0.699      0.676 |      0.784      0.776 | 
 0.211   4.7 |      0.589      0.522 |      0.688      0.650 |      0.773      0.755 | 
 0.227   4.4 |      0.581      0.490 |      0.695      0.616 |      0.777      0.725 | 
 0.242   4.1 |      0.662      0.438 |      0.899      0.515 |      0.926      0.639 | 
 0.258   3.9 |      0.703      0.404 |      1.009      0.470 |      1.000      0.599 | 
 0.273   3.7 |      0.589      0.415 |      0.733      0.529 |      0.785      0.650 | 
 0.289   3.5 |      0.577      0.402 |      0.697      0.513 |      0.747      0.642 | 
 0.305   3.3 |      0.547      0.387 |      0.650      0.510 |      0.723      0.633 | 
 0.320   3.1 |      0.528      0.378 |      0.638      0.502 |      0.709      0.619 | 
 0.336   3.0 |      0.534      0.374 |      0.638      0.489 |      0.707      0.609 | 
 0.352   2.8 |      0.537      0.340 |      0.670      0.444 |      0.734      0.563 | 
 0.367   2.7 |      0.525      0.340 |      0.646      0.451 |      0.701      0.561 | 
 0.383   2.6 |      0.526      0.329 |      0.651      0.435 |      0.701      0.553 | 
 0.398   2.5 |      0.528      0.315 |      0.650      0.427 |      0.708      0.542 | 
 0.414   2.4 |      0.518      0.321 |      0.621      0.441 |      0.681      0.556 | 
 0.430   2.3 |      0.515      0.317 |      0.617      0.441 |      0.668      0.560 | 
 0.445   2.2 |      0.507      0.314 |      0.612      0.442 |      0.649      0.561 | 
 0.461   2.2 |      0.505      0.322 |      0.595      0.452 |      0.639      0.567 | 

=== V17 by detail content ===
  freq    px |        hf LOW         |        hf MID         |        hf HIGH       
 0.023  42.7 |      1.008      0.996 |      0.999      0.997 |      1.002      0.993 | 
 0.039  25.6 |      0.983      0.989 |      1.001      0.989 |      0.970      0.986 | 
 0.055  18.3 |      0.982      0.981 |      0.960      0.980 |      0.996      0.972 | 
 0.070  14.2 |      0.984      0.969 |      0.984      0.967 |      0.968      0.948 | 
 0.086  11.6 |      0.970      0.950 |      0.979      0.949 |      0.980      0.923 | 
 0.102   9.8 |      0.934      0.931 |      0.935      0.928 |      1.000      0.884 | 
 0.117   8.5 |      0.925      0.914 |      0.908      0.914 |      0.854      0.786 | 
 0.133   7.5 |      0.896      0.884 |      0.913      0.883 |      0.778      0.735 | 
 0.148   6.7 |      0.901      0.870 |      0.874      0.864 |      0.785      0.737 | 
 0.164   6.1 |      0.881      0.856 |      0.854      0.850 |      0.757      0.711 | 
 0.180   5.6 |      0.880      0.846 |      0.858      0.785 |      0.799      0.630 | 
 0.195   5.1 |      0.885      0.829 |      0.802      0.814 |      0.650      0.616 | 
 0.211   4.7 |      0.878      0.811 |      0.828      0.803 |      0.631      0.565 | 
 0.227   4.4 |      0.856      0.789 |      0.784      0.767 |      0.595      0.510 | 
 0.242   4.1 |      0.874      0.748 |      0.831      0.726 |      1.051      0.327 | 
 0.258   3.9 |      0.954      0.731 |      0.879      0.696 |      1.141      0.267 | 
 0.273   3.7 |      0.843      0.739 |      0.811      0.696 |      0.726      0.412 | 
 0.289   3.5 |      0.805      0.702 |      0.747      0.704 |      0.654      0.392 | 
 0.305   3.3 |      0.792      0.717 |      0.748      0.668 |      0.571      0.350 | 
 0.320   3.1 |      0.755      0.714 |      0.711      0.657 |      0.573      0.358 | 
 0.336   3.0 |      0.778      0.691 |      0.718      0.649 |      0.500      0.329 | 
 0.352   2.8 |      0.819      0.668 |      0.740      0.615 |      0.581      0.312 | 
 0.367   2.7 |      0.769      0.654 |      0.752      0.587 |      0.593      0.278 | 
 0.383   2.6 |      0.736      0.633 |      0.755      0.582 |      0.561      0.300 | 
 0.398   2.5 |      0.762      0.641 |      0.751      0.570 |      0.661      0.257 | 
 0.414   2.4 |      0.742      0.645 |      0.723      0.567 |      0.574      0.272 | 
 0.430   2.3 |      0.744      0.639 |      0.683      0.583 |      0.482      0.270 | 
 0.445   2.2 |      0.740      0.614 |      0.689      0.577 |      0.480      0.288 | 
 0.461   2.2 |      0.711      0.622 |      0.671      0.565 |      0.463      0.297 | 
